CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
IE-2000-8TC-G-L,"IE 8 10/100,2 T/SFP, Lite",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,3.6 x 4.51 x 5.1,2.75,259,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-8TC-G-N,"IE 8 10/100, 2T/SFP,Base w/1588 & NAT",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,3.6 x 4.51 x 5.1,2.75,260,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-8TC-G-N-WS,"IE 8 10/100, 2T/SFP,Base w/1588 & NAT",,,,,,,,,,,,,,,,,,,,261,,
IE-2000U-8TC-G,"IE 2000U 8 x 10/100,2 T/SFP GE ports with 1588",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,3.6 x 4.51 x 5.1,2.75,262,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-3000-4TC,"Cisco IE 3000 Switch, 4 10/100 + 2",Switch,Fixed,,"PWR-IE50W-AC, PWR-IE50W-AC-IEC",,,,,,,,,,,,,RJ45,6 x 4.4 x 5.8,4.4,263,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-3000-8TC,"Cisco IE 3000 Switch, 8 10/100 + 2",Switch,Fixed,,"PWR-IE50W-AC, PWR-IE50W-AC-IEC",,,,,,,,,,,,,RJ45,6 x 4.4 x 5.8,4.4,264,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-3010-24TC,"Rack Mount Switch 24 10/100B-T, 2",Switch,Modular,RM-RGD-19IN,PWR-RGD-LOW-DC/IA,PWR-RGD-AC-DC/IA ,,,,,,,,,RPS-CG-COVER,,,RJ45,17.5 x 14 x 1.75,9.1,265,Multiple power options,
IE-4000-4GC4GP4G-E-WS,"IE 4000 4 x combo 1G with 4 x 1G PoE, 4 x 1G Combo , LAN Bas",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,6.12 x 5.09 x 5.12,6.35,266,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-4000-4GS8GP4G-E,"IE 4000 4 x SFP 1G with 8 x 1G PoE, 4 x 1G Combo , LAN Base",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,6.12 x 5.09 x 5.12,6.35,267,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-4000-4S8P4G-E,"IE4000 with 4FE SFP, 8FE PoE+ and 4GE combo uplink ports",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,6.12 x 5.09 x 5.12,6.35,268,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-4000-8GT8GP4G-E,"IE 4000 8 x RJ45 10/100/1000 with 8 x 1G PoE, 4 x 1G Combo",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,6.12 x 5.09 x 5.12,6.35,269,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-4010-4S24P,"IE4010 4x 1G SFP, 24 10/100/1000 GE PoE LAN Base",Switch,Modular,RCKMNT-1RU,"PWR-RGD-AC-DC-H, PWR-RGD-LOW-DC-H, PWR-RGD-AC-DC-250 ",,,,,,,,,,,,,RJ45,17.5 x 14 x 1.75,12.1,270,,
IE-5000-12S12P-10G,IE5000 12x1G SFP+12x10/100/1000 + 4 1G/10G LAN BASE,Switch,Modular,RCKMNT-1RU,"PWR-RGD-AC-DC-H, PWR-RGD-LOW-DC-H, PWR-RGD-AC-DC-250 ",,,,,,,,,,,,,RJ45,17.5 x 14 x 1.75,13.7,271,,
IEM-3000-4PC,"Cisco IE 3000 Expansion Module, 4 POE 10/100",module,,,,,,,,,,,,,,,,,,,272,,
